title_fa,title_en,open_jobs,category,company_size,company_site,year
19کالا , 19Kala,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,19kala.com,None
گل راد , Golrad,۱,کشاورزی,۲ - ۱۰ نفر,golrad.com,None
شرق سازه کویر , Shargh Sazeh Kavir,۱,معماری و عمران,۵۱ تا ۲۰۰ نفر,None,None
استدیو لیقه , Studio Liqeh,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,None,None
باسرگان , Basagan GmbH,۱,خدمات درمانی، پزشکی و سلامت,۲ - ۱۰ نفر,www.basagan.de,None
بهسازان پارت , Behsazan Part,۱,تولید و صنایع,۲ - ۱۰ نفر,None,None
گروه رسانه ای بسپار , Baspar Media Group,۲,رسانه و انتشارات,۲ - ۱۰ نفر,www.iranpolymer.com,None
صدرا صنعت آسانبر , Sadra Sanat,۱,واردات و صادرات,۱۱ تا ۵۰ نفر,sadralift.com,None
بوئين آلومينيوم , BUIN ALUMINIUM,۱,تولید و صنایع,۱۱ تا ۵۰ نفر,None,None
سازگان گستر , Sazgangostar,۱,خدمات درمانی، پزشکی و سلامت,۱۱ تا ۵۰ نفر,sazgan.com,None
گیم اینو , Gameiino,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,gameiino.ir,None
آنالیکا , Analyca,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,analyca.net,None
هزارویک , 1001 Engineering Co,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,None,None
اینتلیسا , Intelisa,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,innovation.net/,None
